Unnamed: 0,word,meaning
145,treatise,A formal piece of writing that considers and examines a particular subject.
146,whereas,Compared with the fact that; but.
147,foster,To help something to develop over a period of time.
148,inaugurate,To start or introduce something new and important.
149,formative,Relating to the time when someone or something is starting to develop in character.
150,admission,Permission to join a club or become a student at a college or university.
151,faculty,A department or group of departments in a university.
152,peer,"A person who has equal standing with another or others, as in rank, class, or age."
153,cohort,"A group of people who share a characteristic, usually age."
154,versatile,Able to change easily from one activity to another or able to be used for many different purposes.
155,step up to the plate,To move into a position where one is ready to do a task; step up to the plate.
156,astounding,Very surprising or shocking.
157,innumerable,Too many to be counted.
158,veracity,"The quality of being true, honest, or accurate."
159,insight,"A clear, deep, and sometimes sudden understanding of a complicated problem or situation."
160,pantheon,"A small group of people who are the most famous, important, and admired in their particular area of activity."
161,tenet,One of the principles on which a belief or theory is based.
162,affront,A remark or action intended to insult or offend someone.
163,acute,Very serious or severe.
164,dismal,Sad and without hope.
165,excess,"An amount that is more than acceptable, expected, or reasonable."
166,implore,"To ask someone to do or not do something in a very sincere, emotional, and determined way."
167,curl up,To sit or lie in a position with your arms and legs close to your body.
168,garner,"To collect something, usually after much work or with difficulty."
169,testament,"proof, evidence, testimony"
170,play out,Proceed to the end.
171,win hands down,be outright winner
172,falter,"To lose strength or purpose and stop, or almost stop."
173,conceive,To imagine something.
174,novel,"Strikingly new, unusual, or different."
175,crew,"A group of people who work together, especially all those who work on and operate a ship, aircraft, etc.."
176,dulcet,Describes sounds that are soft and pleasant to listen to.
177,precarious,In a dangerous state because not safe or firmly fixed.
178,satnav,Abbreviation for satellite navigation.
179,cattle,Cows and bulls that are kept for their milk or meat.
180,graze,To eat grass growing in a field.
181,covert,"Secretly, or in a hidden way."
182,infringe,"to break a law, rule, or agreement"
183,wade,To walk through water with difficulty because of the pressure of the water against your legs.
184,hapless,Unlucky and usually unhappy.
185,trail,"A path through the countryside, often made or used for a particular purpose."
186,foil,To prevent from being successful; thwart.
187,enforce,"To make people obey a law, or to make a particular situation happen or be accepted."
188,snoop,"To look around a place secretly, in order to discover things or find out information about someone or something."
189,uphold,"To defend or keep a principle or law, or to say that a decision that has already been made, especially a legal one, is correct."
190,fond of,To have a great liking for someone or something; to like doing something.
191,premise,An idea or theory on which a statement or action is based.
192,clank,"To make a short loud sound like that of metal objects hitting each other, or to cause something to make this sound."
193,hyperbole,"A way of speaking or writing that makes someone or something sound bigger, better, more, etc. than they are."
194,meld,To (cause something to) combine with something else.
195,prime,To make ready; prepare
196,surveillance,"The careful watching of a person or place, especially by the police or army, because of a crime that has happened or is expected."
197,unveil,to announce something officially that was previously a secret
198,deter,to make someone decide not to do something
199,drone,A pilotless aircraft operated by remote control.
200,subtle,"not obvious, and therefore difficult to notice"
201,depict,To represent or show something in a picture or story.
202,proponent,A person who speaks publicly in support of a particular idea or plan of action.
203,proliferation,a sudden increase in number or amount
204,prone,Likely to suffer from an illness or show a particular negative characteristic.
205,belligerent,very unfriendly and angry
206,stipend,A fixed regular income.
207,underpin,"To give support, strength, or a basic structure to something."
208,means,A method or way of doing something.
209,patchy,Only existing or happening in some parts.
210,constellation,Any of the groups of stars in the sky that seem from Earth to form a pattern and have been given names.
211,sheer,"Used to emphasize how very great, important, or powerful a quality or feeling is; nothing except."
212,equator,An imaginary line drawn around the middle of the Earth an equal distance from the North Pole and the South Pole.
213,circumference,The distance measured around the edge of a circle or a round object or area.
214,rig,a tall structure fitted with equipment for getting oil or gas out of the ground or from under the bottom of the sea
215,ubiquitous,Seeming to be everywhere.
216,devoid,To lack or be without something that is necessary or usual.
217,impose,"To officially force a rule, tax, punishment, etc. to be obeyed or received."
218,yearn,"To wish very strongly, especially for something that you cannot have or something that is very difficult to have."
219,tendril,"A thin, stem-like part of a climbing plant that holds on to walls or other plants for support."
220,oncoming,Moving towards you or coming nearer.
221,superstition,"Belief that is not based on human reason or scientific knowledge, but is connected with old ideas about magic, etc.."
222,distressing,Upsetting or worrying.
223,cloud,to confuse or impair
224,rest assured,to be assured; to be certain; to be certain something will happen
225,assure,"To tell someone confidently that something is true, especially so that they do not worry."
226,carcass,The body of a dead animal.
227,gradually,Slowly over a period of time or a distance.
228,scarper,to leave a place very quickly and suddenly
229,disproportionate,"Too large or too small in comparison to something else, or not deserving its importance or influence."
230,let alone,not to mention or think of someone or something; not even to take someone or something into account
231,bear down,To advance in a threatening manner.
232,fragrance,A sweet or pleasant smell.
233,whiff,"A slight smell, carried on a current of air."
234,lag,To move or make progress so slowly that you are behind other people or things.
235,siren,"a piece of equipment that makes a loud sound, used for warning people"
236,hum,to make musical sounds with your lips closed
237,arouse,To cause someone to have a particular feeling.
238,heighten,"To increase or make something increase, especially an emotion or effect."
239,impair,To spoil something or make it weaker so that it is less effective.
240,screen out,to prevent something that is dangerous or unsuitable from coming in
241,tweak,To pull and twist something with a small sudden movement.
242,revise,"To look at or consider again an idea, piece of writing, etc. in order to correct or improve it."
243,spearmint,"A strong flavouring with a fresh taste, or the plant from which this flavouring comes."
244,intriguing,Very interesting because of being unusual or mysterious.
245,sedate,"quiet or slow, and not likely to shock people or attract attention"
246,olfactory,Connected with the ability to smell.
247,elevate,To raise something or lift something up.
248,airliner,A large passenger aircraft.
249,outsize,(especially of clothing) much larger than usual.
250,aviation,"The activity of flying aircraft, or of designing, producing, and keeping them in good condition."
251,herald,"To be a sign that something important, and often good, is starting to happen, or to make something publicly known, especially by celebrating or praising it."
252,ensuing,Happening after something and because of it.
253,swivel,To (cause to) turn round a central point in order to face in another direction.
254,propulsion,A force that pushes something forward.
255,aeronautics,"The science of designing, building, and operating aircraft."
256,manned,Operated or controlled by people.
257,reminiscence,stories or thoughts of past experiences
258,flap,"To wave something, especially wings when or as if flying."
259,mirage,"An image, produced by very hot air, of something that seems to be far away but does not really exist."
260,expatriate,Someone who does not live in their own country.
261,sought-after,wanted by many people but not easy to get
262,glitzy,Having a fashionable appearance intended to attract attention.
263,hassle,a situation that causes problems for you or that annoys you very much
264,Spaniard,someone from Spain
265,entrepreneur,someone who uses money to start businesses and make business deals
266,wholly,completely
267,hub,The central or main part of something where there is most activity.
268,withhold,To refuse to give something or to keep back something.
269,repercussion,"The effect that an action, event, or decision has on something, especially a bad effect."
270,wholesaler,Someone who buys and sells goods in large amounts to shops and businesses.
271,traction,The ability of a wheel or tyre to hold the ground without sliding.
272,lease,"To make a legal agreement by which money is paid in order to use land, a building, a vehicle, or a piece of equipment for an agreed period of time."
273,posh,(of places and things) expensive and of high quality.
274,worthwhile,"Useful, important, or good enough to be a suitable reward for the money or time spent or the effort made."
275,fillip,Something that causes a sudden improvement.
276,construe,"To understand the meaning, especially of other people's actions and statements, in a particular way."
277,reimburse,To pay back money to someone who has spent it for you or lost it because of you.
278,subsistence,"The state of having what you need in order to stay alive, but no more."
279,streamline,"to improve a business, organization, process etc by making it more modern or simple"
280,conveyancing,The process of moving the legal ownership of property or land from one person to another.
281,incentive,Something that encourages a person to do something.
282,envisage,"To imagine or expect something in the future, especially something good."
283,nimble,Quick and exact either in movement or thoughts.
284,waver,"To lose strength, determination, or purpose, especially temporarily."
285,wobble,To (cause something to) shake or move from side to side in a way that shows poor balance.
286,boil down to,To constitute the equivalent of in summary.
287,excerpt,"A short part taken from a speech, book, film, etc.."
288,stall,To halt the motion or progress of; bring to a standstill.
289,commodity,"A substance or product that can be traded, bought, or sold."
290,dissipate,To (cause to) gradually disappear or waste.
291,rein,"A long, thin piece of material, especially leather, that helps you to control and direct a horse."
292,equity,"The value of a company, divided into many equal parts owned by the shareholders, or one of the equal parts into which the value of a company is divided."
293,tenacious,"Holding tightly onto something, or keeping an opinion in a determined way."
294,eventuality,Something unpleasant or unexpected that might happen or exist in the future.
295,on one's toes,aware and energetic
